날짜,PM10,SO2,CO,O3,NO2
2012-01-01,78.708,0.013,0.696,0.021,0.023
2012-01-02,48.875,0.006,0.554,0.021,0.024
2012-01-03,70.625,0.007,0.558,0.02,0.026
2012-01-04,56.75,0.005,0.454,0.024,0.019
2012-01-05,50.625,0.004,0.408,0.022,0.023
2012-01-06,56.333,0.007,0.533,0.017,0.026
2012-01-07,57.958,0.006,0.629,0.011,0.038
2012-01-08,63.083,0.006,0.65,0.011,0.038
2012-01-09,101.917,0.022,0.792,0.018,0.028
2012-01-10,107.458,0.017,0.771,0.016,0.031
2012-01-11,55.167,0.006,0.467,0.024,0.02
2012-01-12,49.708,0.005,0.438,0.019,0.024
2012-01-13,76.542,0.01,0.696,0.013,0.036
2012-01-14,57.792,0.006,0.471,0.019,0.025
2012-01-15,52.125,0.007,0.521,0.02,0.025
2012-01-16,29.583,0.004,0.462,0.016,0.026
2012-01-17,37.583,0.006,0.483,0.01,0.035
2012-01-18,37.958,0.004,0.542,0.01,0.032
2012-01-19,23.75,0.004,0.433,0.021,0.025
2012-01-20,29.458,0.004,0.433,0.021,0.026
2012-01-21,29.583,0.004,0.458,0.021,0.023
2012-01-22,27.417,0.003,0.342,0.029,0.011
2012-01-23,28.667,0.003,0.312,0.028,0.01
2012-01-24,37.167,0.004,0.408,0.023,0.016
2012-01-25,32.792,0.004,0.396,0.023,0.016
2012-01-26,43.833,0.007,0.554,0.014,0.031
2012-02-01,51.833,0.006,0.487,0.027,0.016
2012-02-02,33.792,0.004,0.379,0.025,0.014
2012-02-03,39.958,0.003,0.396,0.02,0.021
2012-02-04,76.375,0.011,0.683,0.015,0.035
2012-02-05,82.292,0.009,0.721,0.012,0.039
2012-02-06,80.5,0.007,1,0.005,0.052
2012-02-07,62.667,0.005,0.5,0.022,0.021
2012-02-08,33.5,0.003,0.362,0.024,0.016
2012-02-10,41.167,0.005,0.417,0.018,0.027
2012-02-11,35.417,0.005,0.392,0.02,0.025
2012-02-12,46.958,0.008,0.442,0.017,0.034
2012-02-13,44.083,0.006,0.633,0.009,0.043
2012-02-14,64.458,0.006,0.917,0.004,0.049
2012-02-15,76.542,0.008,0.608,0.015,0.039
2012-02-17,44.583,0.004,0.358,0.026,0.019
2012-02-18,45.542,0.004,0.358,0.025,0.018
2012-02-19,34.833,0.003,0.342,0.024,0.02
2012-02-20,47.833,0.006,0.479,0.016,0.038
2012-02-21,73.125,0.01,0.721,0.01,0.05
2012-02-23,68.792,0.006,0.533,0.021,0.037
2012-02-24,67.583,0.006,0.546,0.02,0.037
2012-02-25,59.208,0.004,0.446,0.025,0.029
2012-02-26,68.833,0.003,0.496,0.018,0.029
2012-02-27,54.958,0.004,0.462,0.019,0.034
2012-02-28,32.667,0.003,0.417,0.017,0.035
2012-03-01,36.75,0.005,0.446,0.017,0.039
